id,sender,receiver,amount,conducted_on,notes
383,"Hills, Collins and Walker",Val Verde,668984,2025-05-08 09:32:12,
384,VonRueden Group,Val Verde,738306,2025-01-28 15:28:15,
385,"Prohaska, Grimes and Franecki",Val Verde,259122,2024-08-24 11:27:44,
386,Bashirian-Rowe,Val Verde,275493,2025-03-04 17:21:34,
387,"Mraz, Terry and Ziemann",Val Verde,824799,2024-07-24 18:47:34,
388,Carroll LLC,Val Verde,153140,2024-07-30 19:06:28,
389,"Senger, Cruickshank and Schiller",Val Verde,949767,2024-08-31 04:26:19,
390,"Smith, Howell and Wisozk",Val Verde,910271,2024-01-27 16:19:04,
391,Murray-Harris,Val Verde,843285,2024-06-13 13:24:51,
392,"Jacobs, Haley and Jenkins",Val Verde,933494,2024-01-02 02:40:54,
393,Kohler-Price,Val Verde,156877,2024-03-24 17:16:36,
394,"Stiedemann, Jacobi and Mayer",Val Verde,434978,2024-07-26 04:56:55,
395,Grimes-Marvin,Val Verde,784667,2024-09-15 17:15:16,
396,Mertz-Witting,Val Verde,285511,2024-04-06 17:18:27,
397,Prosacco-Yost,Val Verde,926951,2025-03-22 07:44:26,
398,"Spencer, Jenkins and Rohan",Val Verde,395494,2025-04-14 09:42:24,
399,Greenfelder-Braun,Val Verde,927317,2025-02-03 20:59:02,
400,"Rolfson, O'Conner and Wintheiser",Val Verde,624628,2024-06-05 13:29:59,
401,Gutkowski-Walsh,Val Verde,434496,2024-01-08 00:35:52,
402,Kiehn-Bechtelar,Val Verde,311832,2024-06-21 19:44:08,
403,Davis-Yundt,Val Verde,369052,2024-01-05 18:31:04,
404,Dibbert-Strosin,Val Verde,956326,2025-03-20 03:48:19,
405,Mosciski-Hauck,Val Verde,809150,2024-11-26 09:18:49,
406,Sipes-Emard,Val Verde,143825,2025-04-18 00:07:54,
407,"Hartmann, Kris and Pouros",Val Verde,294130,2025-05-03 00:23:56,
408,Green-Stroman,Val Verde,739076,2025-02-25 19:05:48,
409,Stamm-Jones,Val Verde,527941,2024-02-23 01:36:04,
410,"Lubowitz, Grady and D'Amore",Val Verde,248008,2025-04-23 13:37:45,
411,"Price, Rutherford and Waelchi",Val Verde,270822,2024-11-21 17:29:29,
412,"Schamberger, Torp and Schimmel",Val Verde,209002,2024-07-14 21:18:56,
413,"Kovacek, Ratke and Romaguera",Val Verde,370480,2025-01-14 18:20:02,
414,"Strosin, Lubowitz and Fay",Val Verde,951740,2024-12-12 20:46:44,
415,"Mertz, Waelchi and Russel",Val Verde,589076,2024-10-18 23:34:13,
416,Harber-Schultz,Val Verde,609602,2024-12-23 01:24:58,
417,Nitzsche and Sons,Val Verde,522202,2024-11-28 10:04:45,
418,Bradtke-Hegmann,Val Verde,771780,2024-10-02 09:34:40,
419,Cartwright LLC,Val Verde,324819,2025-05-12 04:49:25,
420,Kshlerin and Sons,Val Verde,129100,2024-12-18 13:50:13,
421,"Zulauf, Heller and Feil",Val Verde,545168,2025-02-16 06:48:46,
422,Beer-Lind,Val Verde,347395,2024-11-29 17:53:48,
423,"Johnson, Ortiz and Christiansen",Val Verde,545063,2024-08-15 01:53:51,
424,Hackett Inc,Val Verde,453814,2024-11-03 23:58:40,
425,Feest and Sons,Val Verde,695369,2024-08-02 12:48:26,
426,Frami-Bradtke,Val Verde,178885,2024-09-04 09:44:27,
427,"Homenick, Kertzmann and Gerlach",Val Verde,565570,2024-12-16 21:22:55,
428,"Johnson, Volkman and O'Kon",Val Verde,998392,2025-03-18 16:00:07,
429,"Heidenreich, Bayer and Langosh",Val Verde,620090,2025-03-21 23:44:09,
430,"Durgan, Batz and Romaguera",Val Verde,233996,2025-03-30 08:14:25,
431,Schmitt-Walker,Val Verde,490974,2024-10-23 15:20:24,
432,O'Conner and Sons,Val Verde,557251,2025-02-26 22:54:33,
433,Franecki-Pacocha,Val Verde,954693,2025-03-02 10:38:05,
434,Bruen-Becker,Val Verde,163381,2024-06-19 08:53:02,
435,Schulist and Sons,Val Verde,310209,2025-03-31 08:06:13,
436,Casper Inc,Val Verde,760725,2025-02-08 11:11:03,
437,"Lind, Veum and VonRueden",Val Verde,249277,2024-05-01 01:52:18,
438,Renner and Sons,Val Verde,606572,2025-02-07 13:55:54,
439,Jerde-Nader,Val Verde,688361,2024-03-04 08:48:07,
440,"Kohler, Okuneva and Legros",Val Verde,299030,2024-12-06 10:18:13,
441,Stark-Hyatt,Val Verde,157582,2024-10-28 10:10:12,
442,"Schroeder, Hayes and Friesen",Val Verde,508671,2024-10-16 01:40:01,
443,"Kemmer, Shields and Mayert",Val Verde,352696,2024-10-20 21:11:43,
444,Rohan Inc,Val Verde,963044,2024-08-02 04:28:55,
445,Mayert-Watsica,Val Verde,656279,2024-09-29 01:25:09,
446,Baumbach Group,Val Verde,288492,2024-07-09 15:26:37,
447,Reichert-Veum,Val Verde,422518,2025-04-25 19:26:04,
448,"Gorczany, McCullough and McClure",Val Verde,579471,2024-03-03 22:02:26,
449,Kub-Altenwerth,Val Verde,393508,2025-04-22 07:25:44,
450,Mosciski Inc,Val Verde,644042,2024-11-14 13:26:09,
451,Friesen and Sons,Val Verde,594154,2024-05-25 01:10:30,
452,"Kozey, Durgan and Keeling",Val Verde,823211,2024-05-04 08:26:46,
453,"Hagenes, Hamill and Gulgowski",Val Verde,166723,2024-02-27 04:10:11,
454,"Schaefer, Turner and Volkman",Val Verde,280107,2024-03-02 04:33:49,
455,Metz-Muller,Val Verde,477086,2025-05-12 16:32:52,
456,Feeney-Bradtke,Val Verde,719580,2024-12-22 08:34:53,
457,Rowe-Grady,Val Verde,736103,2024-02-16 01:23:04,
458,Dietrich LLC,Val Verde,386477,2024-11-04 12:45:03,
459,Schroeder-Rau,Val Verde,604191,2024-01-03 07:36:24,
460,Rolfson-Rempel,Val Verde,431814,2024-08-12 17:53:59,
461,Hane-Lindgren,Val Verde,494446,2024-11-28 03:49:33,
462,"Erdman, Goodwin and Lebsack",Val Verde,774279,2025-03-31 10:30:14,
463,Cartwright LLC,Val Verde,883012,2024-01-08 10:44:43,
464,Haag Group,Val Verde,972208,2025-05-08 21:37:16,
465,Hane-Considine,Val Verde,460406,2024-05-30 05:54:21,
466,Emard-Parisian,Val Verde,550143,2024-09-24 00:09:30,
467,"Hessel, Conn and Cremin",Val Verde,402963,2025-01-30 03:51:02,
468,"Nikolaus, Mayert and Pouros",Val Verde,214143,2025-01-10 19:15:29,
469,Conn-Keeling,Val Verde,870540,2024-12-11 12:20:59,
470,Kris Inc,Val Verde,133908,2025-01-19 14:57:56,
471,Keebler-Kreiger,Val Verde,829144,2024-01-23 03:58:40,
472,Ferry-Muller,Val Verde,375444,2024-10-26 12:56:05,
473,Skiles Group,Val Verde,145482,2024-01-12 02:39:22,
474,Cole-Wolf,Val Verde,967941,2025-01-30 17:43:33,
475,"Heaney, Tremblay and Rippin",Val Verde,483602,2024-12-07 21:35:10,
476,"Weissnat, Beer and Schuppe",Val Verde,525769,2024-01-12 05:10:51,
477,"Lind, Kemmer and Ziemann",Val Verde,263742,2025-03-30 17:08:06,
478,Kihn Group,Val Verde,653907,2024-04-02 08:22:16,
479,"Gulgowski, Kris and Zieme",Val Verde,162140,2025-01-05 06:23:06,
480,Schiller LLC,Val Verde,788569,2024-03-04 03:01:59,
481,Heaney-Kirlin,Val Verde,324673,2025-02-03 06:06:19,
482,Hills-Schaefer,Val Verde,610189,2024-11-19 07:15:34,
483,Ortiz-Welch,Val Verde,903594,2024-04-25 10:41:36,
484,Leuschke LLC,Val Verde,693200,2024-11-05 03:36:42,
485,Blanda-Johnston,Val Verde,513392,2024-12-05 01:36:14,
486,Rolfson Group,Val Verde,827620,2024-06-01 03:10:41,
487,"Lueilwitz, Lehner and Willms",Val Verde,870564,2025-01-11 05:36:53,
488,Klocko-Wisoky,Val Verde,805501,2024-06-08 17:56:05,
489,Hahn-Bins,Val Verde,316951,2024-09-06 05:19:41,
490,Schimmel-Grady,Val Verde,121247,2025-02-02 01:56:58,
491,Johns-Kuphal,Val Verde,557089,2024-12-23 19:16:59,
492,Wunsch Inc,Val Verde,967305,2024-10-16 20:58:52,
493,Thompson-Schuster,Val Verde,690790,2024-04-21 12:18:02,
494,"Zboncak, Kuhn and Feest",Val Verde,176038,2024-02-05 06:41:51,
495,Pfannerstill-Kerluke,Val Verde,509981,2024-05-08 18:12:24,
496,Bartell Group,Val Verde,438117,2024-05-09 14:12:13,
497,"Paucek, Kuphal and Hilpert",Val Verde,160405,2024-12-12 04:53:35,
498,"Konopelski, Bode and Goodwin",Val Verde,618553,2024-01-18 19:02:42,
499,Schowalter-Quigley,Val Verde,291356,2024-10-05 14:54:52,
500,Emard-Weber,Val Verde,229046,2025-05-18 15:18:48,
501,"Kreiger, Rohan and Klocko",Val Verde,893990,2025-03-30 16:07:24,
502,Zieme-Abernathy,Val Verde,520392,2024-08-13 02:04:15,
503,"Dare, Jakubowski and Jaskolski",Val Verde,516258,2025-03-08 14:48:00,
504,Harris Inc,Val Verde,217650,2024-03-22 20:47:08,
505,Kris Group,Val Verde,780197,2024-02-27 04:47:22,
506,Quigley-Rath,Val Verde,242919,2025-05-23 15:35:40,
507,Schuster Group,Val Verde,818082,2025-02-22 22:34:20,
508,Wiza-Barton,Val Verde,794590,2024-02-10 11:30:35,
509,"Wilderman, Yost and Hegmann",Val Verde,968749,2024-08-04 10:42:21,
510,Beatty and Sons,Val Verde,847541,2024-09-14 12:31:33,
511,Murazik Group,Val Verde,162271,2024-02-25 19:54:12,
512,Donnelly-Ernser,Val Verde,200587,2024-08-27 22:00:15,
513,Murazik-Anderson,Val Verde,402130,2024-08-30 03:14:17,
514,"Beer, Rosenbaum and Cassin",Val Verde,260611,2024-08-19 13:24:57,
515,"Ondricka, Zboncak and Erdman",Val Verde,412291,2024-03-18 03:02:01,
516,Koch-Hand,Val Verde,317342,2024-04-29 17:24:22,
517,Mante and Sons,Val Verde,299588,2024-12-15 22:29:46,
518,Ernser Inc,Val Verde,453192,2024-02-21 12:57:00,
519,"Toy, Nader and Cassin",Val Verde,673348,2024-12-26 03:12:11,
520,Runte-Baumbach,Val Verde,605247,2024-05-13 22:46:09,
521,Kilback Group,Val Verde,477799,2024-02-23 14:07:40,
522,Mayert Group,Val Verde,619659,2024-09-30 23:21:43,
523,Reynolds Inc,Val Verde,520451,2025-03-29 23:34:30,
524,Runolfsson Inc,Val Verde,712142,2024-02-08 00:29:36,
525,Shields Inc,Val Verde,848353,2024-02-01 21:43:09,
526,Boyle and Sons,Val Verde,227069,2025-03-31 07:38:08,
527,Schulist-Halvorson,Val Verde,842483,2024-11-28 05:49:34,
528,Wuckert Inc,Val Verde,993116,2025-03-08 14:21:34,
529,"McGlynn, Gerlach and Konopelski",Val Verde,803635,2024-12-04 22:25:36,
530,Corwin and Sons,Val Verde,918941,2025-04-27 01:15:25,
531,"Boyle, Romaguera and Blanda",Val Verde,741079,2025-03-05 18:15:08,
532,Goodwin-Littel,Val Verde,298357,2024-12-21 07:42:32,
533,Lowe-Gottlieb,Val Verde,618654,2024-01-30 06:23:54,
534,Kub-Williamson,Val Verde,981222,2025-01-07 23:20:11,
535,Torphy-Wolf,Val Verde,272005,2025-02-25 22:41:52,
536,"Swaniawski, Prosacco and Schinner",Val Verde,679740,2024-08-02 12:14:15,
537,"O'Reilly, Maggio and Schaefer",Val Verde,644257,2025-04-30 12:55:57,
538,Brekke Inc,Val Verde,234602,2024-09-26 02:28:48,
539,"Kreiger, Schoen and Kerluke",Val Verde,692151,2025-03-30 22:40:18,
540,Morissette Group,Val Verde,689884,2024-05-28 11:34:33,
541,Kuphal-Conroy,Val Verde,823589,2024-02-16 07:37:21,
542,Blick-Marquardt,Val Verde,157676,2024-12-05 15:44:40,
543,Toy-Cummerata,Val Verde,683444,2024-11-16 07:27:20,
544,Jones LLC,Val Verde,997094,2024-02-25 05:34:45,
545,"Collins, Williamson and Steuber",Val Verde,521452,2024-07-14 18:52:21,
546,Skiles Inc,Val Verde,101015,2024-12-20 06:03:43,
547,Lemke Inc,Val Verde,979423,2024-08-17 17:49:11,
548,Hudson-Murray,Val Verde,260038,2025-03-13 08:06:40,
549,Smith LLC,Val Verde,387655,2024-06-18 21:20:56,
550,Kunze and Sons,Val Verde,153884,2024-01-18 04:13:40,
551,Padberg LLC,Val Verde,252919,2024-03-19 09:17:10,
552,Jast-Smith,Val Verde,773734,2024-03-23 13:40:38,
553,Runte Group,Val Verde,469120,2024-10-10 15:02:24,
554,Pagac-Thiel,Val Verde,353954,2024-07-11 17:51:29,
555,"Halvorson, Jerde and Lakin",Val Verde,122559,2024-02-21 18:34:46,
556,"Deckow, Ziemann and Jaskolski",Val Verde,942930,2025-01-25 10:59:17,
557,Walter LLC,Val Verde,853920,2024-01-03 09:20:55,
558,"Murazik, Haag and Waters",Val Verde,577763,2024-06-16 03:38:02,
559,Nitzsche-Douglas,Val Verde,376515,2024-01-02 01:03:14,
560,Koepp-Morissette,Val Verde,932847,2024-12-05 15:45:49,
561,Robel Group,Val Verde,911998,2024-08-23 21:18:48,
562,Monahan-Witting,Val Verde,771687,2024-08-18 23:32:37,
563,"Rutherford, Renner and Jones",Val Verde,380884,2024-07-18 03:10:29,
564,"Bednar, Medhurst and Bashirian",Val Verde,946486,2025-01-11 14:06:50,
565,"Fadel, Kunze and Nitzsche",Val Verde,676986,2024-12-17 06:46:10,
566,"Mante, Botsford and Berge",Val Verde,975130,2024-07-12 20:14:13,
567,"Bartell, Kling and Walsh",Val Verde,269916,2025-01-27 09:17:40,
568,Watsica Group,Val Verde,736111,2024-08-18 20:37:20,
569,Gutkowski and Sons,Val Verde,545286,2024-06-13 15:55:17,
570,"Abbott, Mohr and Lehner",Val Verde,351887,2024-04-10 00:29:24,
571,"Keebler, Marvin and Legros",Val Verde,669940,2025-01-20 08:20:35,
572,Kertzmann Inc,Val Verde,622282,2025-04-02 03:10:35,
573,Crist Group,Val Verde,423906,2024-07-11 21:13:16,
574,Wilkinson Group,Val Verde,814020,2025-04-07 19:09:59,
575,"Carter, Murazik and Mitchell",Val Verde,562202,2024-11-23 08:31:00,
576,Greenholt and Sons,Val Verde,125111,2024-08-08 20:02:24,
577,Crist-Wunsch,Val Verde,367216,2025-05-15 23:46:47,
578,Lindgren Inc,Val Verde,267611,2024-03-17 04:18:57,
579,Schaefer and Sons,Val Verde,648974,2024-07-17 04:42:19,
580,"Sawayn, Mueller and Stroman",Val Verde,999625,2024-10-05 09:06:00,
581,Bahringer-Rempel,Val Verde,291621,2024-08-21 21:25:34,
582,Miller-Lindgren,Val Verde,195866,2025-03-23 22:39:47,
583,"Littel, Padberg and Pacocha",Val Verde,905529,2024-07-13 18:31:32,
584,White-Veum,Val Verde,471983,2025-04-18 09:41:06,
585,"Olson, Gislason and Batz",Val Verde,262215,2025-04-14 02:54:42,
586,Luettgen Group,Val Verde,440410,2024-04-26 09:15:08,
587,Schaefer Group,Val Verde,912294,2024-09-28 09:08:26,
588,Schmidt-O'Connell,Val Verde,441173,2024-11-14 09:19:37,
589,O'Kon and Sons,Val Verde,984555,2025-01-14 08:38:31,
590,Romaguera-Altenwerth,Val Verde,377637,2025-01-24 02:17:01,
591,Kunde and Sons,Val Verde,365448,2025-04-11 10:50:34,
592,"Hirthe, Turcotte and Daugherty",Val Verde,814438,2025-04-13 06:28:34,
593,Grimes and Sons,Val Verde,513589,2024-08-24 14:59:16,
594,Waelchi Inc,Val Verde,339752,2024-03-31 18:12:00,
595,"Pfeffer, Emard and Friesen",Val Verde,245425,2024-07-09 18:28:14,
596,Bergnaum Group,Val Verde,402172,2024-03-20 09:52:13,
597,Stroman-Stroman,Val Verde,679179,2024-05-28 01:14:31,
598,Larson-Haley,Val Verde,558442,2024-06-05 07:27:48,
599,"Zulauf, Roberts and Leannon",Val Verde,431992,2024-09-02 23:06:29,
600,"Crona, Parker and Emard",Val Verde,769179,2025-02-25 16:30:34,
601,"Hermann, Casper and Herzog",Val Verde,973906,2024-05-03 04:20:37,
602,"Hauck, Mohr and Schowalter",Val Verde,604179,2025-04-27 00:21:27,
603,"Muller, Beier and Klocko",Val Verde,131674,2025-04-22 20:03:28,
604,"Johnson, Cummings and Predovic",Val Verde,688208,2024-11-30 08:23:45,
605,Sanford-Boehm,Val Verde,934337,2025-04-23 16:38:37,
606,Aufderhar-Osinski,Val Verde,918928,2025-03-15 14:18:28,
607,Gutkowski LLC,Val Verde,749724,2024-02-29 22:14:52,
608,Kassulke Group,Val Verde,683223,2025-04-29 17:28:31,
609,Bayer LLC,Val Verde,572385,2024-04-21 18:12:49,
610,Walker-DuBuque,Val Verde,157901,2024-12-24 22:53:08,
611,"Wolff, McDermott and Hartmann",Val Verde,393418,2024-06-23 21:31:56,
612,Harvey-Heaney,Val Verde,789661,2024-06-22 19:05:03,
613,Olson-Hermann,Val Verde,787453,2025-01-30 07:01:42,
614,Keeling LLC,Val Verde,130052,2024-03-01 02:46:12,
615,Kovacek and Sons,Val Verde,483995,2024-06-18 12:09:57,
616,Prohaska-Konopelski,Val Verde,795589,2025-04-08 19:08:11,
617,Hamill-Williamson,Val Verde,756801,2025-04-07 04:43:26,
618,Powlowski and Sons,Val Verde,476709,2024-02-02 09:38:58,
619,"Beer, Fritsch and Schinner",Val Verde,718596,2025-01-05 12:39:33,
620,"Carroll, Wuckert and Hackett",Val Verde,247502,2024-07-06 22:04:13,
621,Murray-Weber,Val Verde,155237,2024-04-13 18:05:07,
622,Marvin-Daniel,Val Verde,162874,2024-05-14 10:43:36,
623,"Yundt, Bahringer and Olson",Val Verde,517298,2024-05-29 06:54:26,
624,Towne and Sons,Val Verde,519032,2024-11-07 16:26:48,
625,Ferry Group,Val Verde,223978,2025-03-22 10:30:41,
626,Sanford Group,Val Verde,598967,2025-01-12 15:32:55,
627,Schuster LLC,Val Verde,632600,2024-07-14 07:35:42,
628,Hessel and Sons,Val Verde,473730,2025-01-11 17:40:45,
629,"Barrows, Olson and Walker",Val Verde,881105,2025-01-16 07:46:57,
630,Homenick Inc,Val Verde,891258,2024-06-05 23:00:47,
631,Carroll Group,Val Verde,949884,2025-03-22 05:07:41,
632,Lynch Group,Val Verde,718363,2024-10-24 10:33:38,
633,Bins-Wolff,Val Verde,259355,2024-05-31 22:54:03,
634,Stracke-Hamill,Val Verde,562243,2025-02-18 18:04:06,
635,Dietrich-Stoltenberg,Val Verde,654226,2024-12-06 14:42:22,
636,"Cummerata, Gorczany and Hane",Val Verde,280219,2024-05-07 14:10:15,
637,Bashirian-Effertz,Val Verde,931984,2024-01-04 05:46:02,
638,"Oberbrunner, Schuster and Collier",Val Verde,330379,2024-08-17 06:52:08,
639,Gibson Group,Val Verde,310448,2024-07-19 22:30:38,
640,"Brown, Nienow and Jenkins",Val Verde,895500,2024-11-17 21:35:26,
641,"Koelpin, Hane and Yundt",Val Verde,437881,2024-04-21 18:06:08,
642,"Feil, Stanton and Lehner",Val Verde,336940,2024-03-26 04:44:10,
643,Brown-Stiedemann,Val Verde,789769,2024-03-16 15:28:31,
644,Abernathy-Lebsack,Val Verde,879867,2024-02-12 16:08:34,
645,Wiza-Feil,Val Verde,696176,2024-10-03 12:30:12,
646,Hegmann LLC,Val Verde,197888,2024-02-29 03:59:47,
647,"Erdman, Greenfelder and Yost",Val Verde,771711,2025-01-17 04:19:20,
648,Waelchi-Harris,Val Verde,183371,2025-01-02 13:42:21,
649,Rohan-Hegmann,Val Verde,683437,2024-01-29 22:40:01,
650,"Hettinger, Daugherty and Considine",Val Verde,119349,2025-05-23 14:02:01,
651,"Erdman, Boehm and Fisher",Val Verde,453700,2024-05-23 14:00:39,
652,Denesik LLC,Val Verde,200253,2024-02-10 05:48:36,
653,"Jacobi, O'Conner and Witting",Val Verde,484172,2024-12-28 17:54:56,
654,"Trantow, Robel and Grady",Val Verde,723778,2024-04-24 21:37:16,
655,Wisozk-VonRueden,Val Verde,311897,2024-09-25 19:57:30,
656,Prosacco Group,Val Verde,693835,2025-01-06 15:23:43,
657,"Huel, Kerluke and Will",Val Verde,644083,2025-01-06 17:05:01,
658,"Luettgen, Aufderhar and Reynolds",Val Verde,754891,2025-01-16 09:22:31,
659,"Flatley, Wintheiser and Kshlerin",Val Verde,874079,2024-05-12 04:36:23,
660,Denesik Inc,Val Verde,392801,2024-01-18 13:42:28,
661,"Rolfson, Hayes and Towne",Val Verde,894308,2024-03-11 22:47:07,
662,"Dickinson, Champlin and Crona",Val Verde,749181,2024-03-22 12:13:44,
663,Willms Inc,Val Verde,425462,2024-02-20 06:29:44,
664,Cruickshank-Torp,Val Verde,796749,2024-12-03 00:24:09,
665,Carroll LLC,Val Verde,797968,2024-04-07 12:20:33,
666,Strosin LLC,Val Verde,809410,2024-03-30 03:09:59,
667,"Klocko, Nitzsche and Upton",Val Verde,386378,2025-02-15 15:12:17,
668,"Harris, Dach and Heathcote",Val Verde,752547,2024-03-25 03:03:46,
669,Windler-Ebert,Val Verde,871169,2024-12-25 11:46:59,
670,Medhurst-Hermann,Val Verde,899124,2024-05-26 00:43:50,
671,Keeling and Sons,Val Verde,130634,2024-07-03 04:02:52,
672,"Gerhold, Mayer and Greenfelder",Val Verde,772483,2024-12-09 14:01:36,
673,"Harris, Daniel and Heathcote",Val Verde,430354,2024-11-24 18:46:13,
674,"Hermiston, Zemlak and Lockman",Val Verde,344521,2024-02-01 10:29:04,
675,Harvey Inc,Val Verde,823683,2024-12-29 06:56:05,
676,Vandervort-Hintz,Val Verde,525463,2024-09-05 01:49:38,
677,Upton-Hickle,Val Verde,720617,2024-09-07 16:04:57,
678,Kihn LLC,Val Verde,181645,2025-03-18 02:12:02,
679,"Wehner, Considine and Schiller",Val Verde,344919,2024-06-09 05:57:42,
680,"Kihn, Osinski and Ziemann",Val Verde,166151,2024-11-22 18:46:57,
681,Bayer-D'Amore,Val Verde,931513,2024-07-28 20:33:09,
682,Kerluke-Langworth,Val Verde,980187,2024-10-03 19:09:46,
683,"Denesik, Weber and Langworth",Val Verde,239029,2024-08-06 19:08:14,
684,Miller LLC,Val Verde,973121,2025-01-07 10:05:31,
685,"Swift, O'Conner and Bogan",Val Verde,692079,2024-09-12 18:16:08,
686,"Schoen, Heller and Brakus",Val Verde,632280,2025-05-23 04:36:47,
687,Padberg LLC,Val Verde,511275,2025-02-04 03:48:41,
688,Terry and Sons,Val Verde,969777,2025-01-04 01:15:58,
689,"Maggio, Kohler and Gutkowski",Val Verde,927649,2025-04-11 22:23:00,
690,Weimann and Sons,Val Verde,467974,2024-10-27 03:40:47,
691,"Ledner, Shanahan and Stokes",Val Verde,323746,2024-06-30 16:48:32,
692,"Sipes, Kuphal and Kulas",Val Verde,616582,2024-07-07 10:36:06,
693,Hermann-Zulauf,Val Verde,374271,2024-07-19 16:00:06,
694,Altenwerth LLC,Val Verde,403016,2024-10-08 19:35:10,
695,"Ritchie, Lockman and Romaguera",Val Verde,609267,2024-10-03 13:03:40,
696,"Walker, Cruickshank and Walker",Val Verde,949196,2025-02-22 21:11:53,
697,Ortiz-Beer,Val Verde,313224,2024-11-21 02:24:56,
698,Mohr-Boyle,Val Verde,854281,2024-07-11 00:22:20,
699,"King, Towne and Nienow",Val Verde,149713,2024-06-23 12:39:35,
700,Kuhn-Anderson,Val Verde,831371,2024-03-29 07:53:01,
701,Osinski-O'Kon,Val Verde,420839,2024-02-06 13:50:23,
702,Vandervort-Parker,Val Verde,637788,2024-06-26 19:57:36,
703,"Kilback, Zieme and Pagac",Val Verde,979196,2024-01-13 15:51:48,
704,Blanda and Sons,Val Verde,989913,2025-01-25 11:53:35,
705,Von-Goodwin,Val Verde,242033,2025-05-22 07:05:23,
706,Schaden-Schroeder,Val Verde,667870,2025-05-10 03:53:53,
707,Maggio-Steuber,Val Verde,432221,2024-12-25 04:26:25,
708,Nitzsche-Green,Val Verde,853908,2025-01-15 17:53:00,
709,Treutel-Lindgren,Val Verde,788228,2024-10-15 02:27:24,
710,Cronin LLC,Val Verde,148250,2024-08-17 17:10:28,
711,"Bernhard, Gottlieb and Boehm",Val Verde,971906,2024-07-15 14:01:42,
712,Grimes-Goyette,Val Verde,902485,2024-12-04 18:25:37,
713,Doyle-Wolf,Val Verde,716770,2024-05-12 23:18:11,
714,Frami-Pfannerstill,Val Verde,586259,2024-09-14 07:32:30,
715,Lemke Group,Val Verde,266099,2025-02-16 00:10:22,
716,Jast-Herzog,Val Verde,503150,2024-12-19 20:33:23,
717,"Stehr, Hegmann and Friesen",Val Verde,648527,2024-12-12 02:24:50,
718,"Kuhlman, Stanton and Mertz",Val Verde,435954,2025-02-12 02:32:47,
719,Orn LLC,Val Verde,910124,2024-08-03 06:32:18,
720,"Borer, Trantow and Price",Val Verde,410417,2025-03-18 20:52:48,
721,Roberts-Huel,Val Verde,292506,2025-05-18 06:46:24,
722,Okuneva-Reinger,Val Verde,601193,2024-05-04 00:01:47,
723,Pollich and Sons,Val Verde,150564,2025-05-08 18:32:45,
724,"Sporer, Senger and Predovic",Val Verde,236558,2024-08-15 01:35:29,
725,Osinski LLC,Val Verde,899783,2024-05-17 23:48:27,
726,"Gottlieb, Williamson and Kovacek",Val Verde,557099,2024-07-02 04:35:37,
727,Sipes-McLaughlin,Val Verde,218896,2025-05-18 07:13:22,
728,"McCullough, Effertz and Bechtelar",Val Verde,829948,2024-01-11 07:37:06,
729,Maggio-Prohaska,Val Verde,896357,2024-12-20 18:38:37,
730,Langworth-King,Val Verde,735161,2024-04-14 06:58:35,
731,"Romaguera, Quigley and MacGyver",Val Verde,956309,2024-07-30 07:04:39,
732,"Krajcik, Grimes and Labadie",Val Verde,570320,2024-09-15 23:05:02,
733,Sawayn Group,Val Verde,705998,2024-12-03 23:38:50,
734,Pfeffer-Dickinson,Val Verde,163326,2025-01-24 15:14:34,
735,Considine-Harris,Val Verde,776000,2025-02-21 03:42:24,
736,Satterfield Inc,Val Verde,871654,2024-02-11 13:02:16,
737,Hauck-O'Connell,Val Verde,253564,2024-09-21 16:48:26,
738,"Erdman, Rolfson and Weber",Val Verde,543796,2024-02-08 22:48:22,
739,Heidenreich-Goodwin,Val Verde,870983,2024-12-12 03:03:07,
740,Bergstrom Group,Val Verde,564170,2024-07-06 21:25:51,
741,Marks Inc,Val Verde,813630,2025-05-19 03:56:13,
742,"Ortiz, Gislason and Ziemann",Val Verde,720553,2024-03-13 10:47:54,
743,"Keebler, Ankunding and Harber",Val Verde,843985,2024-08-25 04:41:02,
744,Wisoky-Parker,Val Verde,496416,2024-01-28 21:43:20,
745,Shanahan-Flatley,Val Verde,272446,2024-09-11 09:26:10,
746,Shields LLC,Val Verde,290046,2025-03-11 02:43:24,
747,Blanda-Zemlak,Val Verde,599610,2025-01-27 23:38:46,
748,"Gusikowski, Gusikowski and Batz",Val Verde,188751,2024-12-06 01:17:07,
749,Lueilwitz Inc,Val Verde,454424,2025-05-08 00:09:22,
750,Willms LLC,Val Verde,318659,2025-05-16 14:56:51,
751,Kilback-Dietrich,Val Verde,440768,2024-09-06 23:44:43,
752,Romaguera and Sons,Val Verde,529983,2025-04-02 20:02:28,
753,Christiansen-Donnelly,Val Verde,571561,2024-02-14 13:54:04,
754,"Keeling, Wiza and Hudson",Val Verde,384318,2025-01-31 12:48:28,
755,Bradtke Inc,Val Verde,477613,2024-02-09 05:49:44,
756,Baumbach Inc,Val Verde,724092,2025-01-20 09:00:05,
757,Ortiz and Sons,Val Verde,333946,2024-07-23 12:08:05,
758,Streich and Sons,Val Verde,525803,2024-06-19 09:08:58,
759,Wyman LLC,Val Verde,178818,2024-09-13 02:42:04,
760,"Jacobson, Marvin and Windler",Val Verde,360649,2025-02-26 16:35:11,
761,"Crona, Kris and Sporer",Val Verde,155473,2025-01-20 12:33:22,
762,O'Conner-Huel,Val Verde,437197,2024-06-30 21:28:15,
